Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Nancy Boots Davison,Trades posted entered Monday $BA $NFLX $GOOGL took loss went other direction Total loss 15% all Would do it again fâ€¦,1494,3/7/18 23:38,9.71531E+17,1,0,GOOGLE,Twitter
Jesse Tron,"RT @INTLFCStone: .@VincentDeluard asks the $5.7 trillion question: Can big tech stop the comp bubble, resist higher yields &amp; deliver growthâ€¦",510,3/7/18 23:27,9.71528E+17,0,3,GOOGLE,Twitter
Steve Kelley,"@investsafely Nice, definitely kicks some dividends back. My outside the box would be $BLK or $GOOGL",2770,3/7/18 23:26,9.71528E+17,0,0,GOOGLE,Twitter
sam,RT @NYCPunter: Tariff just got flipped to Bullish. We saw it in the room thanks to Steve D and destroyed SPX calls $GOOGL $BKNG and $BABA.â€¦,7411,3/7/18 23:23,9.71527E+17,0,2,GOOGLE,Twitter
Super Stocks,Today's $GOOGL #options OI and volume chart (also in #AR using #SuperStocks app). #augmentedreality #market #SP500,3362,3/7/18 23:18,9.71525E+17,0,0,GOOGLE,Twitter
PROP FUNDS TRADER,"RT @bespokeinvest: After 4% moves higher for $FB and $GOOGL over the past week, all five FAANG stocks are now back above their 50-DMAs: httâ€¦",1030,3/7/18 23:14,9.71524E+17,0,2,GOOGLE,Twitter
Pasquale Pisani,@CNBCFastMoney @timseymour Buy $BIDU or $GOOGL instead,61,3/7/18 23:03,9.71522E+17,0,0,GOOGLE,Twitter
real aloy,"More liceniing revenue to come after BlackBerry licensing agreement signed with Teletry..... Apple, Qualcomm, Inteâ€¦",128,3/7/18 23:01,9.71521E+17,5,3,GOOGLE,Twitter
Conservative Action News Network,.@libertynation: Googleâ€™s Discrimination And Diversity Wars #Google $GOOGL,367,3/7/18 23:00,9.71521E+17,0,0,GOOGLE,Twitter
Pasquale Pisani,@CNBCFastMoney Buy $BIDU or $GOOGL instead,61,3/7/18 22:58,9.7152E+17,2,0,GOOGLE,Twitter
Bespoke,"After 4% moves higher for $FB and $GOOGL over the past week, all five FAANG stocks are now back above their 50-DMAsâ€¦",594,3/7/18 22:54,9.71519E+17,5,2,GOOGLE,Twitter
